Emission Probabilities Format -- > P( output | state ): 
P( a | e ): 0.035569
P( c | e ): 0.045199
P( b | e ): 0.001064
P( e | e ): 0.026883
P( d | e ): 0.057489
P( g | e ): 0.005613
P( f | e ): 0.017843
P( i | e ): 0.014357
P( h | e ): 0.0039
P( k | e ): 0.000709
P( j | e ): 5.9e-05
P( m | e ): 0.036809
P( l | e ): 0.029247
P( o | e ): 0.014771
P( n | e ): 0.087563
P( q | e ): 0.0039
P( p | e ): 0.009158
P( s | e ): 0.087326
P( r | e ): 0.104638
P( u | e ): 0.000591
P( t | e ): 0.032437
P( w | e ): 0.004372
P( v | e ): 0.024106
P( y | e ): 0.012644
P( x | e ): 0.01418
P( z | e ): 5.9e-05
P( _ | d ): 0.473206
P( a | d ): 0.021901
P( c | d ): 0.000699
P( b | d ): 0.000233
P( e | d ): 0.175676
P( d | d ): 0.004427
P( g | d ): 0.001864
P( f | d ): 0.000466
P( i | d ): 0.099021
P( h | d ): 0.000466
P( k | d ): 0.000233
P( j | d ): 0.001864
P( m | d ): 0.000699
P( l | d ): 0.00466
P( o | d ): 0.075256
P( n | d ): 0.002796
P( q | d ): 0.000233
P( p | d ): 0.000466
P( s | d ): 0.034017
P( r | d ): 0.019571
P( u | d ): 0.05685
P( t | d ): 0.000233
P( w | d ): 0.001398
P( v | d ): 0.013979
P( y | d ): 0.00932
P( x | d ): 0.000233
P( z | d ): 0.000233
P( _ | g ): 0.270963
P( a | g ): 0.078028
P( c | g ): 0.000388
P( b | g ): 0.000388
P( e | g ): 0.147516
P( d | g ): 0.000388
P( g | g ): 0.011258
P( f | g ): 0.000388
P( i | g ): 0.098214
P( h | g ): 0.079969
P( k | g ): 0.000388
P( j | g ): 0.000388
P( m | g ): 0.003106
P( l | g ): 0.012811
P( o | g ): 0.074922
P( n | g ): 0.015528
P( q | g ): 0.000388
P( p | g ): 0.000388
P( s | g ): 0.024845
P( r | g ): 0.088121
P( u | g ): 0.026398
P( t | g ): 0.001553
P( w | g ): 0.000388
P( v | g ): 0.000388
P( y | g ): 0.062112
P( x | g ): 0.000388
P( z | g ): 0.000388
P( _ | f ): 0.371127
P( a | f ): 0.043117
P( c | f ): 0.001916
P( b | f ): 0.000319
P( e | f ): 0.063877
P( d | f ): 0.000319
P( g | f ): 0.000639
P( f | f ): 0.06228
P( i | f ): 0.085596
P( h | f ): 0.000319
P( k | f ): 0.000319
P( j | f ): 0.000319
P( m | f ): 0.000319
P( l | f ): 0.012775
P( o | f ): 0.179176
P( n | f ): 0.000319
P( q | f ): 0.000319
P( p | f ): 0.000319
P( s | f ): 0.001597
P( r | f ): 0.071543
P( u | f ): 0.038326
P( t | f ): 0.049505
P( w | f ): 0.000319
P( v | f ): 0.000319
P( y | f ): 0.014372
P( x | f ): 0.000319
P( z | f ): 0.000319
P( _ | i ): 0.001565
P( a | i ): 0.034823
P( c | i ): 0.077668
P( b | i ): 0.00763
P( e | i ): 0.065636
P( d | i ): 0.030324
P( g | i ): 0.015651
P( f | i ): 0.026998
P( i | i ): 9.8e-05
P( h | i ): 0.000293
P( k | i ): 0.004695
P( j | i ): 9.8e-05
P( m | i ): 0.031693
P( l | i ): 0.047638
P( o | i ): 0.08295
P( n | i ): 0.222929
P( q | i ): 0.003032
P( p | i ): 0.005087
P( s | i ): 0.130979
P( r | i ): 0.033356
P( u | i ): 0.000196
P( t | i ): 0.120513
P( w | i ): 9.8e-05
P( v | i ): 0.044899
P( y | i ): 9.8e-05
P( x | i ): 0.000293
P( z | i ): 0.01076
P( _ | h ): 0.092325
P( a | h ): 0.199269
P( c | h ): 0.000159
P( b | h ): 0.00143
P( e | h ): 0.421738
P( d | h ): 0.000159
P( g | h ): 0.000159
P( f | h ): 0.000159
P( i | h ): 0.093596
P( h | h ): 0.000318
P( k | h ): 0.000159
P( j | h ): 0.000159
P( m | h ): 0.000636
P( l | h ): 0.002701
P( o | h ): 0.072461
P( n | h ): 0.039886
P( q | h ): 0.000159
P( p | h ): 0.000159
P( s | h ): 0.003178
P( r | h ): 0.015891
P( u | h ): 0.033688
P( t | h ): 0.012236
P( w | h ): 0.000477
P( v | h ): 0.000159
P( y | h ): 0.008422
P( x | h ): 0.000159
P( z | h ): 0.000159
P( _ | k ): 0.269625
P( a | k ): 0.005119
P( c | k ): 0.001706
P( b | k ): 0.001706
P( e | k ): 0.360068
P( d | k ): 0.030717
P( g | k ): 0.001706
P( f | k ): 0.001706
P( i | k ): 0.1843
P( h | k ): 0.001706
P( k | k ): 0.001706
P( j | k ): 0.001706
P( m | k ): 0.001706
P( l | k ): 0.010239
P( o | k ): 0.006826
P( n | k ): 0.049488
P( q | k ): 0.001706
P( p | k ): 0.001706
P( s | k ): 0.049488
P( r | k ): 0.001706
P( u | k ): 0.003413
P( t | k ): 0.001706
P( w | k ): 0.001706
P( v | k ): 0.001706
P( y | k ): 0.003413
P( x | k ): 0.001706
P( z | k ): 0.001706
P( _ | j ): 0.007937
P( a | j ): 0.047619
P( c | j ): 0.007937
P( b | j ): 0.007937
P( e | j ): 0.134921
P( d | j ): 0.007937
